raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,finished
258,40000,0,0,0,0,0,0,0,0,0,40,0,160,520,1040,2040,2600,3280,3480,3240,3320,3120,2240,2240,2440,1920,2040,360,5920
260,40000,0,0,0,0,0,0,0,0,0,40,0,160,440,1000,1880,2280,3120,3800,3480,3120,3240,2240,2240,2440,1920,2080,240,6280
262,40000,0,0,0,0,0,0,0,0,0,40,0,120,480,680,1840,2520,2680,3800,3560,2960,3240,2600,2120,2360,2240,1880,480,6400
264,40000,0,0,0,0,0,0,0,0,0,40,0,120,480,360,1960,2360,2800,3600,3680,2880,3160,2840,1960,2240,2320,2040,480,6680
266,40000,0,0,0,0,0,0,0,0,0,40,0,120,440,240,1920,2080,2880,3480,3760,2760,3320,2640,2280,2160,2120,2160,600,7000
268,40000,0,0,0,0,0,0,0,0,0,0,40,120,240,400,1840,1840,2960,3200,3520,3080,3280,2760,2320,2200,2080,1920,680,7520
270,40000,0,0,0,0,0,0,0,0,0,0,40,120,160,480,1680,1800,2600,3240,3400,3120,3360,2920,2240,2280,2200,1920,400,8040
272,40000,0,0,0,0,0,0,0,0,0,0,40,80,160,480,1400,1800,2520,3240,3440,3120,3120,3240,2160,2280,2400,1880,280,8360
274,40000,0,0,0,0,0,0,0,0,0,0,40,40,200,480,1040,1960,2240,3120,3560,3120,3080,3280,2320,2160,2320,2160,240,8640
276,40000,0,0,0,0,0,0,0,0,0,0,40,0,200,400,1040,1800,2280,2600,3720,3440,2800,3200,2720,2080,2080,2200,600,8800
278,40000,0,0,0,0,0,0,0,0,0,0,40,0,160,440,800,1800,2320,2560,3480,3640,2640,3200,2680,2200,2120,2080,680,9160
280,40000,0,0,0,0,0,0,0,0,0,0,40,0,120,480,520,1800,2160,2760,3320,3400,2800,3360,2680,2000,2280,2120,360,9800
282,40000,0,0,0,0,0,0,0,0,0,0,40,0,120,480,240,1880,1920,2720,3160,3560,2920,3240,2680,2160,2280,2200,320,10080
284,40000,0,0,0,0,0,0,0,0,0,0,40,0,120,440,240,1800,1800,2600,3160,3240,3000,3160,3160,2000,2320,2360,240,10320
286,40000,0,0,0,0,0,0,0,0,0,0,40,0,120,320,320,1680,1680,2440,3120,3280,3160,3000,3080,2240,2120,2280,600,10520
288,40000,0,0,0,0,0,0,0,0,0,0,40,0,120,160,480,1440,1680,2200,2960,3600,3040,2920,3120,2520,2040,2040,720,10920
290,40000,0,0,0,0,0,0,0,0,0,0,0,40,120,120,480,1080,1880,2120,2640,3720,3240,2640,3120,2760,2040,2080,520,11400
292,40000,0,0,0,0,0,0,0,0,0,0,0,40,40,200,480,920,1640,2400,2560,3400,3520,2480,3160,2760,1920,2240,400,11840
294,40000,0,0,0,0,0,0,0,0,0,0,0,40,40,160,400,840,1800,2160,2560,3160,3200,2920,3240,2600,2080,2320,240,12240
296,40000,0,0,0,0,0,0,0,0,0,0,0,40,0,160,440,600,1800,1920,2640,2960,3440,2800,3120,2840,2160,2120,560,12400
298,40000,0,0,0,0,0,0,0,0,0,0,0,40,0,160,440,320,1840,1840,2480,3240,3120,2920,2920,3000,2160,2200,520,12800
300,40000,0,0,0,0,0,0,0,0,0,0,0,40,0,120,480,200,1840,1720,2440,2960,3200,3120,2680,3160,2280,2120,400,13240
302,40000,0,0,0,0,0,0,0,0,0,0,0,40,0,120,440,200,1680,1680,2240,2880,3280,3080,2640,3240,2560,1960,400,13560
304,40000,0,0,0,0,0,0,0,0,0,0,0,40,0,120,320,320,1440,1680,2160,2760,3360,3200,2520,3160,2720,1760,680,13760
306,40000,0,0,0,0,0,0,0,0,0,0,0,40,0,120,240,400,1120,1840,2120,2440,3480,3200,2480,3240,2640,1840,400,14400
308,40000,0,0,0,0,0,0,0,0,0,0,0,40,0,120,120,480,920,1680,2320,2360,3160,3160,2760,3240,2560,2080,360,14640
310,40000,0,0,0,0,0,0,0,0,0,0,0,40,0,120,120,480,840,1680,2040,2520,2840,3320,2640,3120,2760,2000,560,14920
312,40000,0,0,0,0,0,0,0,0,0,0,0,40,0,40,200,360,760,1760,1640,2560,3000,3160,2760,2920,2880,2240,440,15240
314,40000,0,0,0,0,0,0,0,0,0,0,0,0,40,40,160,400,600,1600,1800,2400,2960,3120,2800,2760,3080,2400,280,15560
316,40000,0,0,0,0,0,0,0,0,0,0,0,0,40,0,160,440,280,1760,1680,2320,2880,3040,3000,2560,3080,2600,360,15800
318,40000,0,0,0,0,0,0,0,0,0,0,0,0,40,0,160,440,200,1760,1560,2000,2680,3480,3000,2520,3160,2520,480,16000
320,40000,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,480,160,1520,1600,2080,2520,3400,2960,2520,3040,2680,640,16240
322,40000,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,400,240,1240,1760,2080,2440,3080,2880,2680,3160,2680,440,16760
324,40000,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,280,320,1040,1600,2280,2280,2840,3200,2600,2920,2800,640,17040
326,40000,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,120,480,920,1640,1920,2440,2800,3120,2720,2800,2880,440,17560
328,40000,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,120,480,720,1760,1640,2240,3080,2960,2760,2480,3160,560,17880
330,40000,0,0,0,0,0,0,0,0,0,0,0,0,40,0,120,120,400,640,1720,1600,2200,2920,2920,2960,2520,3160,520,18160
332,40000,0,0,0,0,0,0,0,0,0,0,0,0,40,0,80,160,360,560,1560,1720,2000,2680,3200,2840,2480,3160,560,18600
334,40000,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,160,400,280,1760,1520,1960,2680,3120,2920,2440,3080,760,18840
336,40000,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,120,440,200,1640,1520,2040,2400,3160,2920,2360,3120,680,19320
