Mile,Minute,Runners
5,90,4400
6,90,2720
7,90,2640
8,90,4400
9,90,3480
10,90,1760
11,90,1240
12,90,200
13,90,120
14,90,40
15,90,0
16,90,0
17,90,0
18,90,0
19,90,0
20,90,0
21,90,0
22,90,0
23,90,0
24,90,0
25,90,0
0,92,0
1,92,40
2,92,3120
3,92,7000
4,92,7760
5,92,4840
6,92,2720
7,92,2760
8,92,3720
9,92,4040
10,92,2120
11,92,1400
12,92,320
13,92,120
14,92,0
15,92,40
16,92,0
17,92,0
18,92,0
19,92,0
20,92,0
21,92,0
22,92,0
23,92,0
24,92,0
25,92,0
0,94,0
1,94,40
2,94,2120
3,94,6440
4,94,8200
5,94,5280
6,94,2920
7,94,2560
8,94,3800
9,94,3680
10,94,2640
11,94,1640
12,94,480
13,94,120
14,94,40
15,94,40
16,94,0
17,94,0
18,94,0
19,94,0
20,94,0
21,94,0
22,94,0
23,94,0
24,94,0
25,94,0
0,96,0
1,96,0
2,96,1560
3,96,6160
4,96,7640
5,96,5840
6,96,3520
7,96,2240
8,96,3640
9,96,3960
10,96,2640
11,96,1720
12,96,800
13,96,120
14,96,120
15,96,40
16,96,0
17,96,0
18,96,0
19,96,0
20,96,0
21,96,0
22,96,0
23,96,0
24,96,0
25,96,0
0,98,0
1,98,0
2,98,800
3,98,5800
4,98,7360
5,98,6280
6,98,4120
7,98,2320
8,98,2920
9,98,4120
10,98,3120
11,98,1640
12,98,1120
13,98,240
14,98,120
15,98,0
16,98,40
17,98,0
18,98,0
19,98,0
20,98,0
21,98,0
22,98,0
23,98,0
24,98,0
25,98,0
0,100,0
1,100,0
2,100,480
3,100,5160
4,100,7200
5,100,6440
6,100,4120
7,100,2720
8,100,2720
9,100,3920
10,100,3480
11,100,1880
12,100,1360
13,100,320
14,100,160
15,100,0
16,100,40
17,100,0
18,100,0
19,100,0
20,100,0
21,100,0
22,100,0
23,100,0
24,100,0
25,100,0
0,102,0
1,102,0
2,102,320
3,102,4160
4,102,7120
5,102,6800
6,102,4360
7,102,2960
8,102,2600
9,102,3520
10,102,3640
11,102,2360
12,102,1440
13,102,440
14,102,200
15,102,40
16,102,40
17,102,0
18,102,0
19,102,0
20,102,0
21,102,0
22,102,0
23,102,0
24,102,0
25,102,0
0,104,0
1,104,0
2,104,200
3,104,3440
4,104,6840
5,104,6920
6,104,4840
7,104,2840
8,104,2600
9,104,3640
10,104,3480
11,104,2520
12,104,1640
13,104,720
14,104,160
15,104,120
16,104,0
17,104,40
18,104,0
19,104,0
20,104,0
21,104,0
22,104,0
23,104,0
24,104,0
25,104,0
0,106,0
1,106,0
2,106,160
3,106,2680
4,106,6000
5,106,7520
6,106,5160
7,106,3120
8,106,2480
9,106,3480
10,106,3520
11,106,2800
12,106,1640
13,106,1000
14,106,280
15,106,120
16,106,0
17,106,40
18,106,0
19,106,0
20,106,0
21,106,0
22,106,0
23,106,0
24,106,0
25,106,0
0,108,0
1,108,0
2,108,120
3,108,2120
4,108,5880
5,108,6640
6,108,5680
7,108,3880
8,108,2360
9,108,2920
10,108,3920
11,108,3000
12,108,1680
13,108,1280
14,108,320
15,108,120
16,108,40
17,108,40
18,108,0
19,108,0
20,108,0
21,108,0
22,108,0
23,108,0
24,108,0
25,108,0
0,110,0
1,110,0
2,110,40
3,110,1600
4,110,5440
5,110,6560
6,110,5840
7,110,3960
8,110,3000
9,110,2480
10,110,3600
11,110,3320
12,110,2080
13,110,1360
14,110,440
15,110,120
16,110,120
17,110,0
18,110,40
19,110,0
20,110,0
21,110,0
22,110,0
23,110,0
24,110,0
25,110,0
0,112,0
1,112,0
2,112,40
3,112,960
4,112,4800
5,112,6920
6,112,5880
7,112,4160
8,112,3200
9,112,2400
10,112,3400
11,112,3360
12,112,2360
13,112,1480
14,112,720
15,112,160
16,112,120
17,112,0
18,112,40
19,112,0
20,112,0
21,112,0
22,112,0
23,112,0
24,112,0
25,112,0
0,114,0
1,114,0
2,114,40
3,114,600
4,114,4440
5,114,6360
6,114,6280
7,114,4560
8,114,3040
9,114,2600
10,114,3320
11,114,3200
12,114,2520
13,114,1640
14,114,960
15,114,280
16,114,80
17,114,40
18,114,40
19,114,0
20,114,0
21,114,0
22,114,0
23,114,0
24,114,0
25,114,0
0,116,0
1,116,0
2,116,0
3,116,520
4,116,3680
5,116,6280
6,116,6720
7,116,4440
8,116,3080
9,116,2600
10,116,3280
11,116,3400
12,116,2720
13,116,1520
14,116,1240
15,116,320
16,116,120
17,116,40
18,116,40
19,116,0
20,116,0
21,116,0
22,116,0
23,116,0
24,116,0
25,116,0
0,118,0
1,118,0
2,118,0
3,118,360
4,118,3000
5,118,5640
6,118,6480
7,118,5200
8,118,3400
9,118,2760
10,118,2720
11,118,3560
12,118,2840
13,118,2000
14,118,1320
15,118,440
16,118,120
17,118,120
18,118,0
19,118,40
20,118,0
21,118,0
22,118,0
23,118,0
24,118,0
25,118,0
0,120,0
1,120,0
2,120,0
3,120,160
4,120,2600
5,120,5520
6,120,5960
7,120,5480
8,120,3760
9,120,3040
10,120,2480
11,120,3480
12,120,3040
13,120,2080
14,120,1360
15,120,720
16,120,160
17,120,120
18,120,0
19,120,40
20,120,0
21,120,0
22,120,0
23,120,0
24,120,0
25,120,0
0,122,0
1,122,0
2,122,0
3,122,160
4,122,2160
5,122,5080
6,122,5880
7,122,5680
8,122,3960
9,122,3160
10,122,2400
11,122,3200
12,122,3160
13,122,2280
14,122,1560
15,122,880
16,122,240
17,122,120
18,122,40
19,122,40
20,122,0
21,122,0
22,122,0
23,122,0
24,122,0
25,122,0
0,124,0
1,124,0
2,124,0
3,124,160
4,124,1680
5,124,4440
6,124,6240
7,124,5480
8,124,4440
9,124,3000
10,124,2520
11,124,3240
12,124,3040
13,124,2600
14,124,1400
15,124,1240
16,124,240
17,124,160
18,124,80
19,124,0
20,124,40
21,124,0
22,124,0
23,124,0
24,124,0
25,124,0
0,126,0
1,126,0
2,126,0
3,126,80
4,126,1120
5,126,4080
6,126,6000
7,126,6160
8,126,4280
9,126,3360
10,126,2360
11,126,3200
12,126,3200
13,126,2600
14,126,1560
15,126,1280
16,126,440
17,126,120
18,126,120
19,126,0
20,126,40
21,126,0
22,126,0
23,126,0
24,126,0
25,126,0
0,128,0
1,128,0
2,128,0
3,128,40
4,128,680
5,128,3960
6,128,5520
7,128,6240
8,128,4560
9,128,3120
10,128,2880
11,128,2600
12,128,3360
13,128,2840
14,128,2000
15,128,1160
16,128,680
17,128,200
18,128,80
19,128,40
20,128,40
21,128,0
22,128,0
23,128,0
24,128,0
25,128,0
0,130,0
1,130,0
2,130,0
3,130,40
4,130,560
5,130,3400
6,130,5080
7,130,5960
8,130,5000
9,130,3560
10,130,2960
11,130,2520
12,130,3320
13,130,2880
14,130,2080
15,130,1360
16,130,840
17,130,240
18,130,80
19,130,80
20,130,0
21,130,40
22,130,0
23,130,0
24,130,0
25,130,0
0,132,0
1,132,0
2,132,0
3,132,40
4,132,480
5,132,2840
6,132,5040
7,132,5480
8,132,5360
9,132,3800
10,132,3080
11,132,2520
12,132,3000
13,132,3040
14,132,2240
15,132,1360
16,132,1200
17,132,240
18,132,120
19,132,120
20,132,0
21,132,40
22,132,0
23,132,0
24,132,0
25,132,0
0,134,0
1,134,0
2,134,0
3,134,40
4,134,360
5,134,2440
6,134,4640
7,134,5640
8,134,5280
9,134,4120
10,134,3280
11,134,2200
12,134,3160
13,134,2960
14,134,2560
15,134,1480
16,134,1120
17,134,440
18,134,120
19,134,80
20,134,40
21,134,40
22,134,0
23,134,0
24,134,0
25,134,0
0,136,0
1,136,0
2,136,0
3,136,40
4,136,160
5,136,2160
6,136,4240
7,136,5760
8,136,5520
9,136,4040
10,136,3200
11,136,2440
12,136,3040
13,136,3200
14,136,2160
15,136,1920
16,136,1120
17,136,600
18,136,240
19,136,80
20,136,40
21,136,0
22,136,40
23,136,0
24,136,0
25,136,0
0,138,0
1,138,0
2,138,0
3,138,0
4,138,160
5,138,1760
6,138,3680
7,138,5600
8,138,5800
9,138,4160
10,138,3280
11,138,2680
12,138,2720
13,138,3080
14,138,2760
15,138,1800
16,138,1280
17,138,800
18,138,240
19,138,80
20,138,80
21,138,0
22,138,40
23,138,0
24,138,0
25,138,0
0,140,0
1,140,0
2,140,0
3,140,0
4,140,160
5,140,1200
6,140,3600
7,140,5200
8,140,5520
9,140,4840
10,140,3040
11,140,3200
12,140,2520
13,140,3040
14,140,2680
15,140,2120
16,140,1280
17,140,1080
18,140,240
19,140,120
20,140,120
21,140,0
22,140,40
23,140,0
24,140,0
25,140,0
0,142,0
1,142,0
2,142,0
3,142,0
4,142,120
5,142,760
6,142,3400
7,142,4960
8,142,5480
9,142,4840
10,142,3640
11,142,3040
12,142,2480
13,142,2920
14,142,2960
15,142,2200
16,142,1400
17,142,1120
18,142,400
19,142,120
20,142,80
21,142,40
22,142,0
23,142,40
24,142,0
25,142,0
0,144,0
1,144,0
2,144,0
3,144,0
4,144,80
5,144,640
6,144,2880
7,144,4920
8,144,5360
9,144,4960
10,144,3840
11,144,3280
12,144,2240
13,144,2960
14,144,2920
15,144,2320
16,144,1560
17,144,1040
18,144,560
19,144,240
20,144,80
21,144,80
22,144,0
23,144,40
24,144,0
25,144,0
0,146,0
1,146,0
2,146,0
3,146,0
4,146,40
5,146,560
6,146,2600
7,146,4600
8,146,5320
9,146,5000
10,146,4040
11,146,3240
12,146,2280
13,146,2960
14,146,2880
15,146,2280
16,146,1920
17,146,1120
18,146,720
19,146,200
20,146,80
21,146,120
22,146,0
23,146,40
24,146,0
25,146,0
0,148,0
1,148,0
2,148,0
3,148,0
4,148,40
5,148,520
6,148,2200
7,148,4000
8,148,5440
9,148,5280
10,148,4040
11,148,3160
12,148,2720
13,148,2640
14,148,2880
15,148,2520
16,148,1800
17,148,1200
18,148,1040
19,148,240
20,148,120
21,148,80
22,148,40
23,148,40
24,148,0
25,148,0
0,150,0
1,150,0
2,150,0
3,150,0
4,150,40
5,150,360
6,150,2040
7,150,3600
8,150,5000
9,150,5440
10,150,4320
11,150,3160
12,150,2840
13,150,2600
14,150,2880
15,150,2600
16,150,1960
17,150,1360
18,150,1120
19,150,400
20,150,120
21,150,80
22,150,40
23,150,0
24,150,40
25,150,0
0,152,0
1,152,0
2,152,0
3,152,0
4,152,40
5,152,280
6,152,1680
7,152,3320
8,152,4800
9,152,5320
10,152,4440
11,152,3360
12,152,3280
13,152,2280
14,152,2920
15,152,2680
16,152,2240
17,152,1360
18,152,1080
19,152,480
20,152,240
21,152,80
22,152,80
23,152,0
24,152,40
25,152,0
0,154,0
1,154,0
2,154,0
3,154,0
4,154,40
5,154,120
6,154,1320
7,154,3200
8,154,4680
9,154,5160
10,154,4680
11,154,3680
12,154,3160
13,154,2320
14,154,2840
15,154,2760
16,154,2120
17,154,1760
18,154,1080
19,154,640
20,154,200
21,154,80
22,154,80
23,154,40
24,154,40
25,154,0
0,156,0
1,156,0
2,156,0
3,156,0
4,156,40
5,156,120
6,156,840
7,156,3040
8,156,4600
9,156,5120
10,156,4840
11,156,3720
12,156,3200
13,156,2360
14,156,2840
15,156,2720
16,156,2240
17,156,1760
18,156,1080
19,156,1000
20,156,200
21,156,120
22,156,80
23,156,40
24,156,0
25,156,40
0,158,0
1,158,0
2,158,0
3,158,0
4,158,0
5,158,160
6,158,640
7,158,2800
8,158,4360
9,158,5040
10,158,5000
11,158,3600
12,158,3400
13,158,2480
14,158,2680
15,158,2760
16,158,2280
17,158,1920
18,158,1120
19,158,1160
20,158,320
21,158,120
22,158,40
23,158,80
24,158,0
25,158,40
0,160,0
1,160,0
2,160,0
3,160,0
4,160,0
5,160,160
6,160,520
7,160,2400
8,160,4000
9,160,5120
10,160,4880
11,160,4000
12,160,3080
13,160,2760
14,160,2560
15,160,2880
16,160,2400
17,160,2040
18,160,1360
19,160,920
20,160,480
21,160,240
22,160,80
23,160,80
24,160,0
25,160,40
0,162,0
1,162,0
2,162,0
3,162,0
4,162,0
5,162,80
6,162,480
