raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,finished
96,41400,0,0,140,4160,6200,5840,5480,3040,2460,3440,3840,2700,2280,1140,540,120,0,20,0,0,0,0,0,0,0,0,0,0
97,41400,0,0,60,3560,6320,5800,5540,3300,2420,3200,4120,2700,2280,1280,620,180,0,0,20,0,0,0,0,0,0,0,0,0
98,41400,0,0,40,3100,6220,5780,5520,3540,2480,3100,3960,2960,2200,1540,760,160,20,0,20,0,0,0,0,0,0,0,0,0
99,41400,0,0,40,2440,6400,5840,5320,3800,2560,2860,3980,3160,2200,1680,880,200,20,0,20,0,0,0,0,0,0,0,0,0
100,41400,0,0,20,2160,6280,5620,5520,3860,2700,2780,3700,3340,2320,1820,980,180,100,0,20,0,0,0,0,0,0,0,0,0
101,41400,0,0,0,1660,6040,5820,5520,4240,2740,2700,3480,3380,2340,1980,1060,320,100,0,20,0,0,0,0,0,0,0,0,0
102,41400,0,0,0,1200,5960,5720,5640,4520,2680,2680,3280,3560,2500,2000,1120,400,120,0,20,0,0,0,0,0,0,0,0,0
103,41400,0,0,0,1060,5540,5820,5340,4940,2760,2580,3340,3580,2520,2120,1080,520,180,0,0,20,0,0,0,0,0,0,0,0
104,41400,0,0,0,780,5300,5840,5200,5100,2820,2640,3240,3680,2640,2080,1180,700,160,20,0,20,0,0,0,0,0,0,0,0
105,41400,0,0,0,600,4800,5900,5220,5240,3080,2600,3220,3680,2540,2180,1340,780,180,20,0,20,0,0,0,0,0,0,0,0
106,41400,0,0,0,400,4540,5760,5260,5280,3260,2660,2920,3720,2840,2060,1560,860,180,80,0,20,0,0,0,0,0,0,0,0
107,41400,0,0,0,320,4020,5780,5300,5200,3400,2820,2880,3540,3080,2060,1720,920,240,100,0,20,0,0,0,0,0,0,0,0
108,41400,0,0,0,220,3500,5900,5360,5080,3580,2800,2800,3580,3080,2140,1860,1020,340,120,0,0,20,0,0,0,0,0,0,0
109,41400,0,0,0,160,3060,5820,5480,5140,3720,2800,2680,3480,3200,2300,1900,1060,420,160,0,0,20,0,0,0,0,0,0,0
110,41400,0,0,0,100,2640,6080,5180,5140,4080,2700,2780,3240,3300,2360,2000,1060,540,160,20,0,20,0,0,0,0,0,0,0
111,41400,0,0,0,60,2200,5760,5440,5060,4500,2720,2680,3140,3360,2420,2000,1140,720,160,20,0,20,0,0,0,0,0,0,0
